date,adjusted
2017-07-19,140.027451
2017-07-20,140.212219
2017-07-21,140.153885
2017-07-24,140.795792
2017-07-25,140.435944
2017-07-26,140.892975
2017-07-27,140.007996
2017-07-28,139.891296
2017-07-31,139.298035
2017-08-01,139.618988
2017-08-02,139.99826
2017-08-03,139.453644
2017-08-04,139.706497
2017-08-07,140.591522
2017-08-08,140.348404
2017-08-09,140.16362
2017-08-10,137.158447
2017-08-11,138.199051
2017-08-14,139.978821
2017-08-15,140.076065
2017-08-16,140.319199
2017-08-17,137.450211
2017-08-18,137.352936
2017-08-21,137.177856
2017-08-22,139.268875
2017-08-23,138.772842
2017-08-24,138.364426
2017-08-25,138.072632
2017-08-28,138.500565
2017-08-29,139.045197
2017-08-30,140.679031
2017-08-31,142.186508
2017-09-01,141.991974
2017-09-05,140.717957
2017-09-06,141.145889
2017-09-07,141.476547
2017-09-08,140.251144
2017-09-11,141.865555
2017-09-12,142.205948
2017-09-13,142.400467
2017-09-14,141.564056
2017-09-15,142.050323
2017-09-18,141.864197
2017-09-19,142.107834
2017-09-20,141.669235
2017-09-21,140.801804
2017-09-22,140.665314
2017-09-25,139.183853
2017-09-26,139.544464
2017-09-27,140.801804
2017-09-28,140.753067
2017-09-29,141.766678
2017-10-02,141.893417
2017-10-03,142.195587
2017-10-04,142.332016
2017-10-05,143.72583
2017-10-06,143.920746
2017-10-09,143.755066
2017-10-10,143.862289
2017-10-11,144.291122
2017-10-12,144.027954
2017-10-13,144.583557
2017-10-16,145.080612
2017-10-17,145.265808
2017-10-18,145.090363
2017-10-19,144.554306
2017-10-20,144.944183
2017-10-23,143.998734
2017-10-24,144.242371
2017-10-25,143.696579
2017-10-26,143.23848
2017-10-27,147.41008
2017-10-30,147.741516
2017-10-31,148.297043
2017-11-01,148.248322
2017-11-02,147.965668
2017-11-03,149.388702
2017-11-06,149.895538
2017-11-07,149.983231
2017-11-08,150.587555
2017-11-09,149.79805
2017-11-10,149.788284
2017-11-13,149.97348
2017-11-14,149.427673
2017-11-15,148.725906
2017-11-16,150.626511
2017-11-17,150.051453
2017-11-20,149.934494
2017-11-21,151.56221
2017-11-22,151.747421
2017-11-24,152.302963
2017-11-27,152.234741
2017-11-28,152.624619
2017-11-29,149.963745
2017-11-30,151.221069
2017-12-01,150.577789
2017-12-04,148.842865
2017-12-05,148.940353
2017-12-06,149.612839
2017-12-07,150.119705
2017-12-08,150.782501
2017-12-11,151.952072
2017-12-12,151.747421
2017-12-13,152.039825
2017-12-14,151.932602
2017-12-15,153.657761
2017-12-18,154.94603
2017-12-19,154.027954
2017-12-20,153.861908
2017-12-21,153.881439
2017-12-22,153.705643
2017-12-26,152.875443
2017-12-27,152.894958
2017-12-28,153.080521
2017-12-29,152.133148
2018-01-02,154.799576
2018-01-03,156.30368
2018-01-04,156.577194
2018-01-05,158.149673
2018-01-08,158.76503
2018-01-09,158.77478
2018-01-10,158.40361
2018-01-11,159.487778
2018-01-12,160.659851
2018-01-16,160.20079
2018-01-17,161.929535
2018-01-18,161.958893
2018-01-19,162.466751
2018-01-22,164.205338
